,Year,Males,Females,Plague,Mortality,Ratio,Total,,
1,1629,5218,4683,0,8771,1.114243007,9.901,9.901,0
2,1630,4858,4457,1317,10554,1.089970832,9.315,9.315,0
3,1631,4422,4102,274,8562,1.078010727,8.524,8.524,0
4,1632,4994,4590,8,9535,1.088017429,9.584,9.584,0
5,1633,5158,4839,0,8393,1.065922711,9.997,9.997,0
6,1634,5035,4820,1,10400,1.044605809,9.855,9.855,0
7,1635,5106,4928,0,10651,1.03612013,10.034,10.034,0
8,1636,4917,4605,10400,23359,1.067752443,9.522,9.522,0
9,1637,4703,4457,3082,11763,1.055194077,9.16,9.16,0
10,1638,5359,4952,363,13624,1.082189015,10.311,10.311,0
11,1639,5366,4784,314,9862,1.121655518,10.15,10.15,0
12,1640,5518,5332,1450,12771,1.034883721,10.85,10.85,0
13,1641,5470,5200,1375,13142,1.051923077,10.67,10.67,0
14,1642,5460,4910,1274,13273,1.112016293,10.37,10.37,0
15,1643,4793,4617,996,13212,1.038119991,9.41,9.41,0
16,1644,4107,3997,1492,10933,1.027520641,8.104,8.104,0
17,1645,4047,3919,1871,11479,1.032661393,7.966,7.966,0
18,1646,3768,3395,2365,12780,1.109867452,7.163,7.163,0
19,1647,3796,3536,3597,14059,1.073529412,7.332,7.332,0
20,1648,3363,3181,611,9894,1.057214712,6.544,6.544,0
21,1649,3079,2746,67,10566,1.121267298,5.825,5.825,0
22,1650,2890,2722,15,8754,1.061719324,5.612,5.612,0
23,1651,3231,2840,23,10827,1.137676056,6.071,6.071,0
24,1652,3220,2908,16,12569,1.107290234,6.128,6.128,0
25,1653,3196,2959,6,10087,1.080094627,6.155,6.155,0
26,1654,3441,3179,16,13247,1.082415854,6.62,6.62,0
27,1655,3655,3349,9,11357,1.091370558,7.004,7.004,0
28,1656,3668,3382,6,13921,1.084565346,7.05,7.05,0
29,1657,3396,3289,4,12434,1.032532685,6.685,6.685,0
30,1658,3157,3013,14,14993,1.047792897,6.17,6.17,0
31,1659,3209,2781,36,14756,1.153901474,5.99,5.99,0
32,1660,3724,3247,13,12681,1.146904835,6.971,6.971,0
33,1661,4748,4107,20,16665,1.156074994,8.855,8.855,0
34,1662,5216,4803,12,13664,1.085987924,10.019,10.019,0
35,1663,5411,4881,9,12741,1.108584307,10.292,10.292,0
36,1664,6041,5681,5,15453,1.063369125,11.722,11.722,0
37,1665,5114,4858,68596,97306,1.052696583,9.972,9.972,0
38,1666,4678,4319,1998,12738,1.083121093,8.997,8.997,0
39,1667,5616,5322,35,15842,1.05524239,10.938,10.938,0
40,1668,6073,5560,14,17278,1.092266187,11.633,11.633,0
41,1669,6506,5829,3,19432,1.116143421,12.335,12.335,0
42,1670,6278,5719,0,20198,1.097744361,11.997,11.997,0
43,1671,6449,6061,5,15729,1.064015839,12.51,12.51,0
44,1672,6443,6120,5,18230,1.052777778,12.563,12.563,0
45,1673,6073,5822,5,17504,1.043112333,11.895,11.895,0
46,1674,6113,5738,3,21201,1.065353782,11.851,11.851,0
47,1675,6058,5717,1,17244,1.059646668,11.775,11.775,0
48,1676,6552,5847,2,18732,1.120574654,12.399,12.399,0
49,1677,6423,6203,2,19076,1.03546671,12.626,12.626,0
50,1678,6568,6033,5,20678,1.088678933,12.601,12.601,0
51,1679,6247,6041,2,21730,1.034100315,12.288,12.288,0
52,1680,6548,6299,0,21053,1.039530084,12.847,12.847,0
53,1681,6822,6533,0,23951,1.044236951,13.355,13.355,0
54,1682,6909,6744,0,20691,1.024466192,13.653,13.653,0
55,1683,7577,7158,0,20587,1.058535904,14.735,14.735,0
56,1684,7575,7127,0,23202,1.062859548,14.702,14.702,0
57,1685,7484,7246,0,23222,1.032845708,14.73,14.73,0
58,1686,7575,7119,0,22609,1.06405394,14.694,14.694,0
59,1687,7737,7214,0,21460,1.072497921,14.951,14.951,0
60,1688,7487,7101,0,22921,1.054358541,14.588,14.588,0
61,1689,7604,7167,0,23502,1.060973908,14.771,14.771,0
62,1690,7909,7302,0,21461,1.08312791,15.211,15.211,0
63,1691,7662,7392,0,22691,1.036525974,15.054,15.054,0
64,1692,7602,7316,0,20874,1.0390924,14.918,14.918,0
65,1693,7676,7483,0,20959,1.025791795,15.159,15.159,0
66,1694,6985,6647,0,24109,1.050850008,13.632,13.632,0
67,1695,7263,6713,0,19047,1.081930583,13.976,13.976,0
68,1696,7632,7229,0,18638,1.055747683,14.861,14.861,0
69,1697,8062,7767,0,20292,1.037981203,15.829,15.829,0
70,1698,8426,7626,0,20183,1.104904275,16.052,16.052,0
71,1699,7911,7452,0,20795,1.061594203,15.363,15.363,0
72,1700,7578,7061,0,19443,1.073219091,14.639,14.639,0
73,1701,8102,7514,0,20471,1.078253926,15.616,15.616,0
74,1702,8031,7656,0,19481,1.048981191,15.687,15.687,0
75,1703,7765,7683,0,20720,1.010672914,15.448,15.448,0
76,1704,6113,5738,0,22684,1.065353782,11.851,11.851,0
77,1705,8366,7779,0,22097,1.075459571,16.145,16.145,0
78,1706,7952,7417,0,19847,1.07213159,15.369,15.369,0
79,1707,8379,7687,0,21600,1.090022115,16.066,16.066,0
80,1708,8239,7623,0,21291,1.080808081,15.862,15.862,0
81,1709,7840,7380,0,21800,1.062330623,15.22,15.22,0
82,1710,7640,7288,0,24620,1.048298573,14.928,14.928,0
